person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,client_id,loan_to_income,interest_burden,emp_stability_ratio,credit_age_ratio,rate_x_credit_age,financial_pressure,loan_grade_ord
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,13,0.3684210526315789,2.923,0.4,0.08695652173913043,2.6333333333333333,0.1363157894736842,1
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,14,0.323594674556213,5.8848,0.5,0.15384615384615385,3.678,0.10355029585798815,5
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,15,0.30434782608695654,2.37,0.4,0.17391304347826086,1.58,0.09130434782608696,1
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,16,0.06,0.639,1.4,0.13043478260869565,2.6625,0.0036,2
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,17,0.2916666666666667,2.291,0.0,0.17391304347826086,1.58,0.08458333333333333,1
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,18,0.3799763329026935,6.48,1.4,0.17391304347826086,4.05,0.12159242652886193,6
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,19,0.30973451327433627,5.6575,1.6,0.17391304347826086,3.65,0.09601769911504424,4
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,20,0.16203703703703703,1.7584,1.3333333333333333,0.08333333333333333,3.6633333333333336,0.025925925925925925,2
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,21,0.2153846153846154,1.6478000000000002,0.2857142857142857,0.16,1.498,0.047384615384615386,1
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,22,0.25401459854014596,4.1925,1.2857142857142858,0.08,5.59,0.06350364963503649,5
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.5,N,4,23,0.5230769230769231,8.79,1.0,0.18181818181818182,3.5159999999999996,0.26153846153846155,4
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,24,0.1366120218579235,1.0206000000000002,0.0,0.125,1.8225,0.019125683060109294,1
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,25,0.424375,6.1068,0.75,0.18181818181818182,2.908,0.1782375,4
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,26,0.4871136303250376,6.2132,1.3333333333333333,0.125,3.17,0.23868567885926845,3
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,27,0.4159090909090909,7.450799999999999,1.0,0.14285714285714285,4.435,0.17468181818181816,5
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,28,0.12727272727272726,1.2116,0.0,0.13043478260869565,2.33,0.016545454545454544,1
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,29,0.5,4.995,1.0,0.125,2.4975,0.25,2
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,30,0.3512160856967249,4.494,1.6666666666666667,0.09523809523809523,4.28,0.12292562999385372,3
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,31,0.1736111111111111,1.8904,1.6666666666666667,0.14285714285714285,2.78,0.02951388888888889,2
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,32,0.26666666666666666,1.7874,0.2857142857142857,0.08,2.2066666666666666,0.07200000000000001,1
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,33,0.3268421052631579,4.6761,0.875,0.11538461538461539,3.5425,0.10785789473684211,3
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,34,0.07924836601307189,1.108,0.2857142857142857,0.12,3.4625,0.0063398692810457515,3
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,35,0.026,0.4047,1.25,0.15384615384615385,2.698,0.00078,3
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,36,0.20833333333333334,1.5771,1.6666666666666667,0.19047619047619047,1.502,0.04375,1
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.5,N,2,37,0.625,9.195,0.25,0.09090909090909091,6.13,0.3125,5
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,38,0.46875,6.833799999999999,1.3333333333333333,0.125,3.635,0.2203125,4
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,39,0.4,6.756,0.5714285714285714,0.16,3.378,0.16000000000000003,4
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,40,0.4195804195804196,,0.6,0.17391304347826086,,0.17622377622377622,4
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,41,0.48348106365834004,7.375899999999999,0.75,0.07692307692307693,5.996666666666666,0.1982272360999194,5
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,42,0.20833333333333334,2.6649,0.6666666666666666,0.125,3.1725,0.04375,2
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,43,0.06666666666666667,0.5516000000000001,1.25,0.15384615384615385,1.576,0.004666666666666667,1
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,44,0.08083333333333333,1.5528,0.2,0.08695652173913043,6.47,0.006466666666666667,6
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,45,0.03333333333333333,0.3114,1.125,0.15384615384615385,2.076,0.001,2
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,46,0.08333333333333333,1.2264,0.0,0.11538461538461539,3.8325,0.006666666666666666,4
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,47,0.06,0.9869999999999999,1.2857142857142858,0.12,4.1125,0.0036,5
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,48,0.37179328293468833,2.7713,1.0,0.11538461538461539,1.8725,0.1375635146858347,1
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,49,0.45248868778280543,4.8222,1.0,0.13636363636363635,3.1725,0.17194570135746606,2
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,50,0.33697263782180886,2.2508000000000004,0.0,0.11538461538461539,1.655,0.11457069685941502,1
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,51,0.38461538461538464,,0.6666666666666666,0.16666666666666666,,0.14615384615384616,4
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,52,0.38461538461538464,7.0756000000000006,1.4,0.13043478260869565,4.655,0.14615384615384616,6
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,53,0.32607277944437196,5.0259,1.2,0.13043478260869565,3.8075,0.10760401721664276,3
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,54,0.30927835051546393,3.3015,1.4,0.08695652173913043,3.5500000000000003,0.09587628865979382,2
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,55,0.25,1.975,1.2857142857142858,0.16,1.58,0.0625,1
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,56,0.03571428571428571,0.6384000000000001,0.5,0.11538461538461539,3.99,0.0014285714285714286,3
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,57,0.07217506784456378,0.8036000000000001,0.0,0.11538461538461539,2.87,0.005052254749119465,2
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,58,0.1263537906137184,,0.6,0.17391304347826086,,0.016425992779783394,1
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,59,0.234375,1.6767,1.2857142857142858,0.16,1.458,0.05390625,1
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,60,0.14583333333333334,,0.3333333333333333,0.125,,0.021875000000000002,5
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,61,0.22900763358778625,1.3777000000000001,0.0,0.19047619047619047,1.198,0.05267175572519084,1
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,62,0.04363636363636364,0.4632,1.5,0.09090909090909091,3.86,0.0017454545454545457,2
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,63,0.03802281368821293,,0.0,0.15384615384615385,,0.001520912547528517,2
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,64,0.1126887536623845,1.57,1.2857142857142858,0.08,5.233333333333333,0.01126887536623845,4
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,65,0.4157142857142857,6.7158,1.5,0.13636363636363635,3.9975,0.17459999999999998,4
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,66,0.125,1.9292,1.75,0.13636363636363635,3.71,0.01625,4
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,67,0.1076923076923077,1.2089,1.25,0.11538461538461539,2.7475,0.011846153846153847,2
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,68,0.07722007722007722,1.1536,1.2857142857142858,0.08,4.806666666666667,0.006177606177606178,4
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,69,0.03764705882352941,0.2796,1.5,0.08333333333333333,2.33,0.0015058823529411763,1
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,70,0.1,1.3490000000000002,0.2857142857142857,0.16,2.698,0.010000000000000002,3
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,71,0.25,,0.0,0.12,,0.0625,3
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,72,0.4916593503072871,,1.5,0.09090909090909091,,0.24091308165057065,1
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,73,0.25,3.4025,2.0,0.14285714285714285,3.4025,0.0625,3
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,74,0.4307692307692308,3.3970000000000002,0.4,0.08695652173913043,2.6333333333333333,0.18523076923076923,1
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,75,0.32941176470588235,2.4717000000000002,0.25,0.11538461538461539,1.8725,0.10870588235294118,1
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.5,N,3,76,0.5083333333333333,3.755,0.25,0.11538461538461539,1.8775,0.25416666666666665,1
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,77,0.3181818181818182,3.1712000000000002,1.5,0.13636363636363635,2.4775,0.10181818181818182,2
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,78,0.35,4.718,0.0,0.19047619047619047,2.696,0.12249999999999998,3
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,79,0.3958333333333333,2.856,1.5,0.09090909090909091,2.38,0.15833333333333333,1
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,80,0.33733314057153874,5.4366,0.0,0.16666666666666666,3.198,0.11469326779432318,4
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,81,0.072,0.9086000000000001,0.3333333333333333,0.125,3.245,0.00504,3
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,83,0.28,3.5532000000000004,0.7142857142857143,0.12,3.1725,0.07840000000000001,2
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,84,0.2545454545454545,2.225,1.25,0.07692307692307693,2.966666666666667,0.06363636363636363,1
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,85,0.225,,0.0,0.15384615384615385,,0.051750000000000004,1
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,86,0.25925925925925924,,1.5,0.18181818181818182,,0.0674074074074074,2
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,87,0.18518518518518517,2.1109,1.4,0.08695652173913043,3.703333333333333,0.03518518518518518,2
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,88,0.4,,0.3333333333333333,0.08333333333333333,,0.16000000000000003,1
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,89,0.2708333333333333,4.2336,1.6666666666666667,0.14285714285714285,3.92,0.073125,5
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,90,0.39285714285714285,5.0934,1.0,0.13636363636363635,3.265,0.15321428571428572,3
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,91,0.10416666666666667,,1.5,0.09090909090909091,,0.010416666666666668,2
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,92,0.36953551912568305,5.7794,0.625,0.07692307692307693,5.206666666666666,0.13672814207650272,4
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,93,0.3253012048192771,4.451700000000001,0.8333333333333334,0.08333333333333333,4.496666666666667,0.10734939759036145,3
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,94,0.36785242305753485,,0.0,0.125,,0.1361053965312879,4
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,95,0.416,4.918200000000001,1.4,0.08695652173913043,3.9033333333333338,0.17472,2
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,96,0.21333333333333335,2.6649,0.2,0.13043478260869565,3.1725,0.0448,2
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,97,0.12944983818770225,1.7641,0.3333333333333333,0.125,3.3925,0.016828478964401292,3
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,98,0.4245833333333333,4.6158,0.0,0.13636363636363635,2.7475,0.17832499999999998,2
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,99,0.08547008547008547,1.2843,0.42857142857142855,0.16,2.854,0.007692307692307692,3
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,100,0.08547008547008547,0.7992,1.3333333333333333,0.16666666666666666,1.7760000000000002,0.007692307692307692,2
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,101,0.09230769230769231,1.0961999999999998,1.25,0.11538461538461539,3.045,0.008307692307692308,2
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,102,0.053845179272773346,0.7210000000000001,0.8571428571428571,0.12,3.605,0.0026922589636386675,4
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,103,0.10752688172043011,1.5587,0.0,0.07692307692307693,4.723333333333334,0.011827956989247311,3
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,104,0.15217391304347827,2.0985,0.7142857142857143,0.16,2.798,0.02282608695652174,3
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,105,0.30481927710843376,3.297,1.4,0.13043478260869565,2.7475,0.09144578313253013,2
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,106,0.15873015873015872,0.8672,,0.18181818181818182,1.084,0.025396825396825397,1
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,107,0.1388888888888889,1.9054000000000002,0.42857142857142855,0.12,3.4025,0.019444444444444448,3
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.5,Y,3,108,0.5882352941176471,6.365,1.0,0.14285714285714285,3.1825,0.29411764705882354,3
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.5,N,3,109,0.6097560975609756,,0.3333333333333333,0.125,,0.3048780487804878,4
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,110,0.2340823970037453,2.9600999999999997,0.0,0.16,2.574,0.05383895131086142,3
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,111,0.2816358024691358,2.7748000000000004,0.16666666666666666,0.125,2.4775,0.07885802469135803,2
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,112,0.08849557522123894,1.0341,0.5,0.15384615384615385,2.298,0.007964601769911504,2
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,113,0.13333333333333333,2.5883000000000003,0.0,0.08,6.636666666666667,0.017333333333333333,5
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,114,0.1643192488262911,1.7040000000000002,0.75,0.07692307692307693,3.5500000000000003,0.026291079812206575,2
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,115,0.02666666666666667,,0.0,0.16666666666666666,,0.0008,2
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,116,0.3472222222222222,4.140499999999999,0.0,0.16666666666666666,2.366,0.12152777777777776,2
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,117,0.18467220683287167,2.4282,0.0,0.08695652173913043,4.496666666666667,0.0332409972299169,3
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.5,Y,2,118,0.5952380952380952,7.295,1.5,0.09090909090909091,4.863333333333333,0.2976190476190476,4
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.5,N,4,119,0.5208333333333334,4.82,0.25,0.15384615384615385,1.9280000000000002,0.2604166666666667,2
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,120,0.2770083102493075,4.0852,0.14285714285714285,0.12,3.6475,0.0775623268698061,4
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,121,0.3654970760233918,,0.25,0.13636363636363635,,0.13523391812865498,2
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.5,Y,3,122,0.5901794145420207,8.175,0.14285714285714285,0.12,4.0875,0.29508970727101036,5
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.5,N,2,123,0.5102040816326531,5.495,1.3333333333333333,0.09523809523809523,3.6633333333333336,0.25510204081632654,2
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,124,0.1111111111111111,2.0537,0.0,0.08,6.223333333333334,0.012222222222222221,6
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.02,N,4,125,0.013333333333333334,0.1864,0.125,0.15384615384615385,1.864,0.0002666666666666667,1
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,126,0.03333333333333333,0.2589,1.6,0.08695652173913043,2.876666666666667,0.001,1
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,127,0.1111111111111111,1.1088,0.25,0.07692307692307693,3.36,0.012222222222222221,2
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.5,N,3,128,0.5054180818372959,5.915,1.25,0.13636363636363635,2.9575,0.25270904091864793,2
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,129,0.5,3.95,0.2,0.13043478260869565,1.975,0.25,1
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,130,0.5,2.995,0.5714285714285714,0.08,1.9966666666666668,0.25,1
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.5,N,2,131,0.5681818181818182,7.665,0.3333333333333333,0.08333333333333333,5.11,0.2840909090909091,4
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,132,0.5,5.915,0.2,0.17391304347826086,2.366,0.25,2
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,133,0.49996000319974404,5.18,0.0,0.09090909090909091,3.453333333333333,0.24998000159987202,2
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,134,0.49996000319974404,6.115,0.75,0.13636363636363635,3.0575,0.24998000159987202,3
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,135,0.4807692307692308,5.3328,0.5,0.18181818181818182,2.222,0.23076923076923075,2
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,136,0.375,3.0020000000000002,0.6,0.17391304347826086,1.58,0.14250000000000002,1
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,137,0.11363636363636363,1.2738,0.16666666666666666,0.08333333333333333,3.86,0.012499999999999999,2
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,138,0.09722222222222222,0.8900000000000001,1.0,0.13043478260869565,2.225,0.009722222222222222,1
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,139,0.11574074074074074,1.9284,0.2857142857142857,0.12,4.0175,0.013888888888888888,4
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,140,0.09259259259259259,1.2798,1.25,0.07692307692307693,4.74,0.008333333333333333,3
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,141,0.16279069767441862,2.3664,1.4,0.13043478260869565,3.6975,0.026046511627906978,3
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,142,0.05581395348837209,0.4728,1.375,0.07692307692307693,2.6266666666666665,0.0033488372093023254,1
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,143,0.4807692307692308,6.3456,0.2,0.08695652173913043,4.406666666666667,0.23076923076923075,3
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.5,N,4,144,0.5434782608695652,5.93,0.25,0.15384615384615385,2.372,0.2717391304347826,4
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,145,0.4716981132075472,6.312099999999999,1.25,0.18181818181818182,2.686,0.22169811320754715,3
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.5,Y,2,146,0.5319148936170213,7.64,0.0,0.07692307692307693,5.093333333333333,0.26595744680851063,4
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.5,N,2,147,0.5319148936170213,8.965,0.2,0.08695652173913043,5.976666666666667,0.26595744680851063,5
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,148,0.10606060606060606,1.0175,0.4,0.17391304347826086,1.85,0.011666666666666667,2
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,149,0.3409090909090909,4.413200000000001,0.0,0.19047619047619047,2.596,0.1159090909090909,3
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,150,0.0761904761904762,0.8495999999999999,1.5,0.18181818181818182,2.1239999999999997,0.006095238095238096,2
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,151,0.10476190476190476,1.183,1.25,0.15384615384615385,2.366,0.010476190476190477,2
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.5,N,2,152,0.5208333333333334,9.215,0.625,0.07692307692307693,6.1433333333333335,0.2604166666666667,6
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,153,0.4545785148010764,,1.5,0.18181818181818182,,0.2045603316604844,2
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,154,0.45454545454545453,,0.6666666666666666,0.16666666666666666,,0.20454545454545453,4
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,155,0.45454545454545453,5.112,0.8,0.13043478260869565,2.84,0.20454545454545453,2
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,156,0.45454545454545453,7.0425,0.8,0.13043478260869565,3.9125,0.20454545454545453,4
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,157,0.4531941121020956,5.949000000000001,1.3333333333333333,0.16666666666666666,2.644,0.20393735044594302,3
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,158,0.44642857142857145,5.7915,0.5,0.07692307692307693,4.29,0.20089285714285715,3
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,159,0.09828009828009827,1.304,1.3333333333333333,0.125,3.26,0.009828009828009828,3
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,160,0.11578947368421053,2.1096,1.0,0.13043478260869565,4.395,0.013894736842105262,6
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.5,N,4,161,0.5567528735632183,8.52,0.4,0.17391304347826086,3.408,0.27837643678160917,5
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,162,0.4166666666666667,4.6158,0.0,0.125,2.7475,0.175,2
